Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35496817,Atomic Design,Brad Frost,"Frost, Brad",,"=""0998296600""","=""9780998296609""",0,4.04,Brad Frost,Paperback,189,2016,2016,,2017/01/27,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
37556279,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"McCord, Patty",,"=""""","=""""",0,4.15,Silicon Guild,Kindle Edition,228,2018,2018,,2019/09/21,currently-reading,currently-reading (#14),currently-reading,,,,1,,,0,,,,,
39080433,Accelerate: The Science of Lean Software and DevOps: Building and Scaling High Performing Technology Organizations,Nicole Forsgren,"Forsgren, Nicole","Jez Humble, Gene Kim","=""""","=""""",0,4.09,IT Revolution Press,Kindle Edition,288,2018,,,2018/10/10,currently-reading,currently-reading (#13),currently-reading,,,,1,,,0,,,,,
39850907,Transforming NOKIA: The Power of Paranoid Optimism to Lead Through Colossal Change,Risto Siilasmaa,"Siilasmaa, Risto",,"=""""","=""""",5,4.16,McGraw-Hill Education,Kindle Edition,337,2018,2018,2019/01/06,2019/01/05,my-background,my-background (#80),read,"Zajímavý vhled do dění v Nokii od uvedení iPhone do skoro současnosti. Knihu jsem četl jedním dechem. Pro mne je psaná zajímavým až strhujícím způsobem. Občas se až moc opakuje Paranoidní optimismus, ale asi je to hlavní myšlenka, kterou chce autor v knize prodat. Určitě je tam spousta lessons learned jak pro podnikatele, tak pro krizové manažery, tak pro řadové vývojáře. Absence technických kompetencí v softwareové části korporace byla jednou z příčin, že tak velká firma nebyla schopná adekvátně zareagovat na to, co se na trhu stalo, ani během 4 let.",,,1,,,0,,,,,
13186798,"The Sphinx of the Ice Realm: The First Complete English Translation, with the Full Text of the Narrative of Arthur Gordon Pym by Edgar Allan Poe",Jules Verne,"Verne, Jules","Edgar Allan Poe, Frederick Paul Walter","=""1438442114""","=""9781438442112""",3,4.02,State University of New York Press,Hardcover,435,2012,,2013/05/29,2014/01/02,,,read,,,,1,,,1,,,unspecified,,
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.15,St. Martin's Press,Hardcover,246,2017,2017,,2018/10/24,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
25238425,The Effective Engineer: How to Leverage Your Efforts In Software Engineering to Make a Disproportionate and Meaningful Impact,Edmond Lau,"Lau, Edmond",,"=""0996128107""","=""9780996128100""",0,4.29,Effective Bookshelf,Paperback,260,2015,2015,,2017/05/19,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",0,4.10,Currency,Hardcover,299,2011,2011,,2017/05/19,currently-reading,currently-reading (#12),currently-reading,,,,1,,,0,,,,,
23550611,Cognitive Productivity: Using Knowledge to Become Profoundly Effective,Luc P. Beaudoin,"Beaudoin, Luc P.",,"=""""","=""""",0,4.08,CogZest,ebook,392,2014,2013,,2017/10/10,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
18867166,"SOA with REST: Principles, Patterns & Constraints for Building Enterprise Solutions with REST (The Prentice Hall Service Technology Series from Thomas Erl)",Thomas Erl,"Erl, Thomas","Benjamin Carlyle, Cesare Pautasso, Raj Balasubramanian, Herbj¿rn Wilhelmsen, David Booth","=""""","=""""",0,3.74,Prentice Hall,Kindle Edition,624,2012,2011,,2014/01/02,to-read,to-read (#44),to-read,,,,0,,,1,,,unspecified,,
